id,label
65043,0
69206,0
01987,0
01986,0
01988,0
01991,0
01992,0
02003,0
65119,1
69217,1
04505,1
04506,1
04507,1
04508,1
04509,1
04511,1
04514,1
65290,2
08689,2
08702,2
08701,2
08706,2
08707,2
08694,2
08690,2
08691,2
08692,2
08713,2
14835,3
14836,3
14837,3
14839,3
18323,4
18324,4
18325,4
18329,4
18335,4
20699,5
20700,5
20701,5
20702,5
20706,5
20711,5
65668,5
65669,5
24025,6
24026,6
24027,6
24029,6
65800,6
27172,7
27173,7
27177,7
27184,7
28648,8
28649,8
28650,8
28651,8
28652,8
28655,8
31149,9
31151,9
31152,9
31153,9
31154,9
31155,9
31157,9
31158,9
31165,9
65981,9
31749,10
31750,10
31751,10
31752,10
31753,10
31755,10
31756,10
31767,10
33266,11
33267,11
33268,11
33269,11
33270,11
33273,11
33274,11
33285,11
69389,11
34823,12
34824,12
34825,12
34826,12
34827,12
34830,12
34831,12
34832,12
34839,12
37580,13
37581,13
37582,13
37585,13
37590,13
69405,13
40115,14
40116,14
40117,14
40118,14
40119,14
40121,14
40129,14
66246,14
43166,15
43167,15
43168,15
43169,15
43170,15
43171,15
43173,15
43174,15
43179,15
69433,15
45757,16
45758,16
45759,16
45760,16
45762,16
45767,16
66365,16
48105,17
48106,17
48107,17
48108,17
48109,17
48114,17
48115,17
48124,17
48126,17
55361,18
55362,18
55363,18
55364,18
55365,18
55366,18
55368,18
55369,18
55375,18
66575,18
56556,19
56557,19
56558,19
56563,19
60346,20
60347,20
60348,20
60349,20
60350,20
60351,20
60352,20
60353,20
60354,20
60357,20
61805,21
61806,21
61807,21
61808,21
61809,21
61810,21
61812,21
61819,21
62158,22
62159,22
62160,22
62163,22
62164,22
62168,22
62169,22
62170,22
64379,23
64380,23
64381,23
64382,23
64383,23
64385,23
64391,23
69547,23
64544,24
64547,24
64551,24

